MARKET_NAME,Market_Address_Line1,Market_Address_Line2, Market_town , Market_City, Market_District, Market_Pincode
Rajim,Address_line42,Address_line_43,Rajim,Rajim,Rajim,600042
Jaitu,Address_line43,Address_line_44,Jaitu,Jaitu,Jaitu,600043
Moovattupuzha,Address_line44,Address_line_45,Moovattupuzha,Moovattupuzha,Moovattupuzha,600044
Katwa,Address_line45,Address_line_46,Katwa,Katwa,Katwa,600045
Kille Dharur,Address_line46,Address_line_47,Kille Dharur,Kille Dharur,Kille Dharur,600046
Kollam,Address_line47,Address_line_48,Kollam,Kollam,Kollam,600047
Pimpalgaon,Address_line48,Address_line_49,Pimpalgaon,Pimpalgaon,Pimpalgaon,600048
Bhikhi,Address_line49,Address_line_50,Bhikhi,Bhikhi,Bhikhi,600049
Bazar Atriya,Address_line50,Address_line_51,Bazar Atriya,Bazar Atriya,Bazar Atriya,600050
Lalbarra,Address_line51,Address_line_52,Lalbarra,Lalbarra,Lalbarra,600051
Soundati,Address_line52,Address_line_53,Soundati,Soundati,Soundati,600052
Wazirganj,Address_line53,Address_line_54,Wazirganj,Wazirganj,Wazirganj,600053
Hoshiarpur(Chara Mandi),Address_line54,Address_line_55,Hoshiarpur(Chara Mandi),Hoshiarpur(Chara Mandi),Hoshiarpur(Chara Mandi),600054
Bolpur,Address_line55,Address_line_56,Bolpur,Bolpur,Bolpur,600055
Ankleshwar,Address_line56,Address_line_57,Ankleshwar,Ankleshwar,Ankleshwar,600056
Jaitsar,Address_line57,Address_line_58,Jaitsar,Jaitsar,Jaitsar,600057
Kendupatna(Niali),Address_line58,Address_line_59,Kendupatna(Niali),Kendupatna(Niali),Kendupatna(Niali),600058
Talalagir,Address_line59,Address_line_60,Talalagir,Talalagir,Talalagir,600059
Madhoganj,Address_line60,Address_line_61,Madhoganj,Madhoganj,Madhoganj,600060
Raver,Address_line61,Address_line_62,Raver,Raver,Raver,600061
Shamshabad,Address_line62,Address_line_63,Shamshabad,Shamshabad,Shamshabad,600062
Amalner,Address_line63,Address_line_64,Amalner,Amalner,Amalner,600063
Gidam,Address_line64,Address_line_65,Gidam,Gidam,Gidam,600064
Ahmedabad(Manekchowk),Address_line65,Address_line_66,Ahmedabad(Manekchowk),Ahmedabad(Manekchowk),Ahmedabad(Manekchowk),600065
Khedh(Bodaramev),Address_line66,Address_line_67,Khedh(Bodaramev),Khedh(Bodaramev),Khedh(Bodaramev),600066
Pargi,Address_line67,Address_line_68,Pargi,Pargi,Pargi,600067
Nadwai,Address_line68,Address_line_69,Nadwai,Nadwai,Nadwai,600068
Bhehjoi,Address_line69,Address_line_70,Bhehjoi,Bhehjoi,Bhehjoi,600069
Beldanga,Address_line70,Address_line_71,Beldanga,Beldanga,Beldanga,600070
Chaksu,Address_line71,Address_line_72,Chaksu,Chaksu,Chaksu,600071
Diamond Harbour(South 24-pgs),Address_line72,Address_line_73,Diamond Harbour(South 24-pgs),Diamond Harbour(South 24-pgs),Diamond Harbour(South 24-pgs),600072
Morbi,Address_line73,Address_line_74,Morbi,Morbi,Morbi,600073
Sri Karanpur,Address_line74,Address_line_75,Sri Karanpur,Sri Karanpur,Sri Karanpur,600074
Kannur,Address_line75,Address_line_76,Kannur,Kannur,Kannur,600075
Maddur,Address_line76,Address_line_77,Maddur,Maddur,Maddur,600076
Kambainallur,Address_line77,Address_line_78,Kambainallur,Kambainallur,Kambainallur,600077
Gondal(Veg.market Gondal),Address_line78,Address_line_79,Gondal(Veg.market Gondal),Gondal(Veg.market Gondal),Gondal(Veg.market Gondal),600078
Chaandpur,Address_line79,Address_line_80,Chaandpur,Chaandpur,Chaandpur,600079
Baberu,Address_line80,Address_line_81,Baberu,Baberu,Baberu,600080
Jharsuguda,Address_line81,Address_line_82,Jharsuguda,Jharsuguda,Jharsuguda,600081
Nashik(Devlali),Address_line82,Address_line_83,Nashik(Devlali),Nashik(Devlali),Nashik(Devlali),600082
Udaipura,Address_line83,Address_line_84,Udaipura,Udaipura,Udaipura,600083
Hapur,Address_line84,Address_line_85,Hapur,Hapur,Hapur,600084
Sarangpur,Address_line85,Address_line_86,Sarangpur,Sarangpur,Sarangpur,600085
Madhogarh,Address_line86,Address_line_87,Madhogarh,Madhogarh,Madhogarh,600086
Sanawad,Address_line87,Address_line_88,Sanawad,Sanawad,Sanawad,600087
Berachha,Address_line88,Address_line_89,Berachha,Berachha,Berachha,600088
Kaliaganj,Address_line89,Address_line_90,Kaliaganj,Kaliaganj,Kaliaganj,600089
Varanasi(Grain),Address_line90,Address_line_91,Varanasi(Grain),Varanasi(Grain),Varanasi(Grain),600090
Awagarh,Address_line91,Address_line_92,Awagarh,Awagarh,Awagarh,600091
Dibiapur,Address_line92,Address_line_93,Dibiapur,Dibiapur,Dibiapur,600092
Hoshiarpur,Address_line93,Address_line_94,Hoshiarpur,Hoshiarpur,Hoshiarpur,600093
Jaisalmer,Address_line94,Address_line_95,Jaisalmer,Jaisalmer,Jaisalmer,600094
Badrisadri,Address_line95,Address_line_96,Badrisadri,Badrisadri,Badrisadri,600095
Shahabad,Address_line96,Address_line_97,Shahabad,Shahabad,Shahabad,600096
Garjee,Address_line97,Address_line_98,Garjee,Garjee,Garjee,600097
Allagadda,Address_line98,Address_line_99,Allagadda,Allagadda,Allagadda,600098
Sangli,Address_line99,Address_line_100,Sangli,Sangli,Sangli,600099
Bodeli(Hadod),Address_line100,Address_line_101,Bodeli(Hadod),Bodeli(Hadod),Bodeli(Hadod),600100
Talwandi Bhai,Address_line101,Address_line_102,Talwandi Bhai,Talwandi Bhai,Talwandi Bhai,600101
Jalalabad,Address_line102,Address_line_103,Jalalabad,Jalalabad,Jalalabad,600102
Rampur,Address_line103,Address_line_104,Rampur,Rampur,Rampur,600103
Sakaleshpura,Address_line104,Address_line_105,Sakaleshpura,Sakaleshpura,Sakaleshpura,600104
Karimpur,Address_line105,Address_line_106,Karimpur,Karimpur,Karimpur,600105
Dondaicha(Sindhkheda),Address_line106,Address_line_107,Dondaicha(Sindhkheda),Dondaicha(Sindhkheda),Dondaicha(Sindhkheda),600106
Ratanpur,Address_line107,Address_line_108,Ratanpur,Ratanpur,Ratanpur,600107
Keonjhar,Address_line108,Address_line_109,Keonjhar,Keonjhar,Keonjhar,600108
Bishramganj,Address_line109,Address_line_110,Bishramganj,Bishramganj,Bishramganj,600109
Sumerganj,Address_line110,Address_line_111,Sumerganj,Sumerganj,Sumerganj,600110
Bhokar,Address_line111,Address_line_112,Bhokar,Bhokar,Bhokar,600111
GarhShankar (Kotfatuhi),Address_line112,Address_line_113,GarhShankar (Kotfatuhi),GarhShankar (Kotfatuhi),GarhShankar (Kotfatuhi),600112
Sri Madhopur,Address_line113,Address_line_114,Sri Madhopur,Sri Madhopur,Sri Madhopur,600113
Palghar,Address_line114,Address_line_115,Palghar,Palghar,Palghar,600114
Cheeka,Address_line115,Address_line_116,Cheeka,Cheeka,Cheeka,600115
Gangapur,Address_line116,Address_line_117,Gangapur,Gangapur,Gangapur,600116
Bhiloda,Address_line117,Address_line_118,Bhiloda,Bhiloda,Bhiloda,600117
Goregaon,Address_line118,Address_line_119,Goregaon,Goregaon,Goregaon,600118
Hirekerur,Address_line119,Address_line_120,Hirekerur,Hirekerur,Hirekerur,600119
Soharatgarh,Address_line120,Address_line_121,Soharatgarh,Soharatgarh,Soharatgarh,600120
Nira,Address_line121,Address_line_122,Nira,Nira,Nira,600121
Lalsot(Mandabari),Address_line122,Address_line_123,Lalsot(Mandabari),Lalsot(Mandabari),Lalsot(Mandabari),600122
Nadia,Address_line123,Address_line_124,Nadia,Nadia,Nadia,600123
Varora,Address_line124,Address_line_125,Varora,Varora,Varora,600124
Kalawad,Address_line125,Address_line_126,Kalawad,Kalawad,Kalawad,600125
Rona,Address_line126,Address_line_127,Rona,Rona,Rona,600126
Melaghar,Address_line127,Address_line_128,Melaghar,Melaghar,Melaghar,600127
Nandgaon,Address_line128,Address_line_129,Nandgaon,Nandgaon,Nandgaon,600128
Gubbi,Address_line129,Address_line_130,Gubbi,Gubbi,Gubbi,600129
Nilanga,Address_line130,Address_line_131,Nilanga,Nilanga,Nilanga,600130
Pandalam,Address_line131,Address_line_132,Pandalam,Pandalam,Pandalam,600131
Kayamkulam,Address_line132,Address_line_133,Kayamkulam,Kayamkulam,Kayamkulam,600132
Vyara(Paati),Address_line133,Address_line_134,Vyara(Paati),Vyara(Paati),Vyara(Paati),600133
Kadi,Address_line134,Address_line_135,Kadi,Kadi,Kadi,600134
Nanjangud,Address_line135,Address_line_136,Nanjangud,Nanjangud,Nanjangud,600135
Shyampur,Address_line136,Address_line_137,Shyampur,Shyampur,Shyampur,600136
Satara,Address_line137,Address_line_138,Satara,Satara,Satara,600137
Dudhansadhan,Address_line138,Address_line_139,Dudhansadhan,Dudhansadhan,Dudhansadhan,600138
Jhabua,Address_line139,Address_line_140,Jhabua,Jhabua,Jhabua,600139
Dholka(Koth),Address_line140,Address_line_141,Dholka(Koth),Dholka(Koth),Dholka(Koth),600140
Nedumkandam,Address_line141,Address_line_142,Nedumkandam,Nedumkandam,Nedumkandam,600141
Manawar,Address_line142,Address_line_143,Manawar,Manawar,Manawar,600142
Babrala,Address_line143,Address_line_144,Babrala,Babrala,Babrala,600143
Vijay Nagar(Gulabpura),Address_line144,Address_line_145,Vijay Nagar(Gulabpura),Vijay Nagar(Gulabpura),Vijay Nagar(Gulabpura),600144
Kulasekaram,Address_line145,Address_line_146,Kulasekaram,Kulasekaram,Kulasekaram,600145
Safdarganj,Address_line146,Address_line_147,Safdarganj,Safdarganj,Safdarganj,600146
Chintalapudi,Address_line147,Address_line_148,Chintalapudi,Chintalapudi,Chintalapudi,600147
Ghiraur,Address_line148,Address_line_149,Ghiraur,Ghiraur,Ghiraur,600148
Khandwa,Address_line149,Address_line_150,Khandwa,Khandwa,Khandwa,600149
Jeerapur,Address_line150,Address_line_151,Jeerapur,Jeerapur,Jeerapur,600150
Gevrai,Address_line151,Address_line_152,Gevrai,Gevrai,Gevrai,600151
Petlawad,Address_line152,Address_line_153,Petlawad,Petlawad,Petlawad,600152
Agar,Address_line153,Address_line_154,Agar,Agar,Agar,600153
Bargarh,Address_line154,Address_line_155,Bargarh,Bargarh,Bargarh,600154
Hunsur,Address_line155,Address_line_156,Hunsur,Hunsur,Hunsur,600155
Curchorem,Address_line156,Address_line_157,Curchorem,Curchorem,Curchorem,600156
Bankhedi,Address_line157,Address_line_158,Bankhedi,Bankhedi,Bankhedi,600157
Timarni,Address_line158,Address_line_159,Timarni,Timarni,Timarni,600158
Shahpur,Address_line159,Address_line_160,Shahpur,Shahpur,Shahpur,600159
Kumbhraj,Address_line160,Address_line_161,Kumbhraj,Kumbhraj,Kumbhraj,600160
Nandura,Address_line161,Address_line_162,Nandura,Nandura,Nandura,600161
Dadri,Address_line162,Address_line_163,Dadri,Dadri,Dadri,600162
Pimpalgaon Baswant(Saykheda),Address_line163,Address_line_164,Pimpalgaon Baswant(Saykheda),Pimpalgaon Baswant(Saykheda),Pimpalgaon Baswant(Saykheda),600163
Beohari,Address_line164,Address_line_165,Beohari,Beohari,Beohari,600164
Madhugiri,Address_line165,Address_line_166,Madhugiri,Madhugiri,Madhugiri,600165
Sonepat,Address_line166,Address_line_167,Sonepat,Sonepat,Sonepat,600166
Pichhour,Address_line167,Address_line_168,Pichhour,Pichhour,Pichhour,600167
Mekhliganj,Address_line168,Address_line_169,Mekhliganj,Mekhliganj,Mekhliganj,600168
Pandavapura,Address_line169,Address_line_170,Pandavapura,Pandavapura,Pandavapura,600169
Gogamba(Similiya),Address_line170,Address_line_171,Gogamba(Similiya),Gogamba(Similiya),Gogamba(Similiya),600170
Amarpatan,Address_line171,Address_line_172,Amarpatan,Amarpatan,Amarpatan,600171
Rishikesh,Address_line172,Address_line_173,Rishikesh,Rishikesh,Rishikesh,600172
Sindagi,Address_line173,Address_line_174,Sindagi,Sindagi,Sindagi,600173
Jaisinagar,Address_line174,Address_line_175,Jaisinagar,Jaisinagar,Jaisinagar,600174
Sangola,Address_line175,Address_line_176,Sangola,Sangola,Sangola,600175
Sirhind,Address_line176,Address_line_177,Sirhind,Sirhind,Sirhind,600176
Mohammdi,Address_line177,Address_line_178,Mohammdi,Mohammdi,Mohammdi,600177
Chirwa,Address_line178,Address_line_179,Chirwa,Chirwa,Chirwa,600178
Dhupguri,Address_line179,Address_line_180,Dhupguri,Dhupguri,Dhupguri,600179
Kalpi,Address_line180,Address_line_181,Kalpi,Kalpi,Kalpi,600180
Mugrabaadshahpur,Address_line181,Address_line_182,Mugrabaadshahpur,Mugrabaadshahpur,Mugrabaadshahpur,600181
Bachau,Address_line182,Address_line_183,Bachau,Bachau,Bachau,600182
Umariya,Address_line183,Address_line_184,Umariya,Umariya,Umariya,600183
Sahnewal,Address_line184,Address_line_185,Sahnewal,Sahnewal,Sahnewal,600184
Gudimalkapur,Address_line185,Address_line_186,Gudimalkapur,Gudimalkapur,Gudimalkapur,600185
Navapara,Address_line186,Address_line_187,Navapara,Navapara,Navapara,600186
Mehatpur,Address_line187,Address_line_188,Mehatpur,Mehatpur,Mehatpur,600187
Lalgarh Jatan,Address_line188,Address_line_189,Lalgarh Jatan,Lalgarh Jatan,Lalgarh Jatan,600188
Eathamozhi,Address_line189,Address_line_190,Eathamozhi,Eathamozhi,Eathamozhi,600189
Gangapur City,Address_line190,Address_line_191,Gangapur City,Gangapur City,Gangapur City,600190
Kaij,Address_line191,Address_line_192,Kaij,Kaij,Kaij,600191
Ganjdudwara,Address_line192,Address_line_193,Ganjdudwara,Ganjdudwara,Ganjdudwara,600192
Bhander,Address_line193,Address_line_194,Bhander,Bhander,Bhander,600193
Chogawan,Address_line194,Address_line_195,Chogawan,Chogawan,Chogawan,600194
Santhesargur,Address_line195,Address_line_196,Santhesargur,Santhesargur,Santhesargur,600195
Thara,Address_line196,Address_line_197,Thara,Thara,Thara,600196
Nasvadi,Address_line197,Address_line_198,Nasvadi,Nasvadi,Nasvadi,600197
Bundi,Address_line198,Address_line_199,Bundi,Bundi,Bundi,600198
Alwar,Address_line199,Address_line_200,Alwar,Alwar,Alwar,600199
Bhandara,Address_line200,Address_line_201,Bhandara,Bhandara,Bhandara,600200
Dhanaula,Address_line201,Address_line_202,Dhanaula,Dhanaula,Dhanaula,600201
Farukh Nagar,Address_line202,Address_line_203,Farukh Nagar,Farukh Nagar,Farukh Nagar,600202
Rawla,Address_line203,Address_line_204,Rawla,Rawla,Rawla,600203
Talwandi Sabo,Address_line204,Address_line_205,Talwandi Sabo,Talwandi Sabo,Talwandi Sabo,600204
Paatan,Address_line205,Address_line_206,Paatan,Paatan,Paatan,600205
Shajapur(F&V),Address_line206,Address_line_207,Shajapur(F&V),Shajapur(F&V),Shajapur(F&V),600206
Ladwa,Address_line207,Address_line_208,Ladwa,Ladwa,Ladwa,600207
Bayana,Address_line208,Address_line_209,Bayana,Bayana,Bayana,600208
Billsadda,Address_line209,Address_line_210,Billsadda,Billsadda,Billsadda,600209
Keonjhar(Dhekikote),Address_line210,Address_line_211,Keonjhar(Dhekikote),Keonjhar(Dhekikote),Keonjhar(Dhekikote),600210
Narnaul,Address_line211,Address_line_212,Narnaul,Narnaul,Narnaul,600211
Venkateswarnagar(Chintapalli),Address_line212,Address_line_213,Venkateswarnagar(Chintapalli),Venkateswarnagar(Chintapalli),Venkateswarnagar(Chintapalli),600212
Sanwer,Address_line213,Address_line_214,Sanwer,Sanwer,Sanwer,600213
Bilga,Address_line214,Address_line_215,Bilga,Bilga,Bilga,600214
Dongargarh,Address_line215,Address_line_216,Dongargarh,Dongargarh,Dongargarh,600215
Dhenkanal,Address_line216,Address_line_217,Dhenkanal,Dhenkanal,Dhenkanal,600216
Haldwani,Address_line217,Address_line_218,Haldwani,Haldwani,Haldwani,600217
Devband,Address_line218,Address_line_219,Devband,Devband,Devband,600218
Begu,Address_line219,Address_line_220,Begu,Begu,Begu,600219
Devbhog,Address_line220,Address_line_221,Devbhog,Devbhog,Devbhog,600220
Bhawani Mandi(Raipur),Address_line221,Address_line_222,Bhawani Mandi(Raipur),Bhawani Mandi(Raipur),Bhawani Mandi(Raipur),600221
Bhalki,Address_line222,Address_line_223,Bhalki,Bhalki,Bhalki,600222
Suryapeta,Address_line223,Address_line_224,Suryapeta,Suryapeta,Suryapeta,600223
Pathardi,Address_line224,Address_line_225,Pathardi,Pathardi,Pathardi,600224
Rampurhat,Address_line225,Address_line_226,Rampurhat,Rampurhat,Rampurhat,600225
Mohgaon,Address_line226,Address_line_227,Mohgaon,Mohgaon,Mohgaon,600226
Piler,Address_line227,Address_line_228,Piler,Piler,Piler,600227
Dasuya,Address_line228,Address_line_229,Dasuya,Dasuya,Dasuya,600228
Etawah,Address_line229,Address_line_230,Etawah,Etawah,Etawah,600229
Champa,Address_line230,Address_line_231,Champa,Champa,Champa,600230
Shahabad(New Mandi),Address_line231,Address_line_232,Shahabad(New Mandi),Shahabad(New Mandi),Shahabad(New Mandi),600231
Byadagi,Address_line232,Address_line_233,Byadagi,Byadagi,Byadagi,600232
Ashta,Address_line233,Address_line_234,Ashta,Ashta,Ashta,600233
Karmala,Address_line234,Address_line_235,Karmala,Karmala,Karmala,600234
Ghanaur,Address_line235,Address_line_236,Ghanaur,Ghanaur,Ghanaur,600235
Salon,Address_line236,Address_line_237,Salon,Salon,Salon,600236
Bhavnagar,Address_line237,Address_line_238,Bhavnagar,Bhavnagar,Bhavnagar,600237
Hamirpur(Nadaun),Address_line238,Address_line_239,Hamirpur(Nadaun),Hamirpur(Nadaun),Hamirpur(Nadaun),600238
Pundibari,Address_line239,Address_line_240,Pundibari,Pundibari,Pundibari,600239
Latur(Murud),Address_line240,Address_line_241,Latur(Murud),Latur(Murud),Latur(Murud),600240
Nawan Shahar(Subzi Mandi),Address_line241,Address_line_242,Nawan Shahar(Subzi Mandi),Nawan Shahar(Subzi Mandi),Nawan Shahar(Subzi Mandi),600241
Harsood,Address_line242,Address_line_243,Harsood,Harsood,Harsood,600242
Alappuzha,Address_line243,Address_line_244,Alappuzha,Alappuzha,Alappuzha,600243
Raikot,Address_line244,Address_line_245,Raikot,Raikot,Raikot,600244
Shahada,Address_line245,Address_line_246,Shahada,Shahada,Shahada,600245
Manasa,Address_line246,Address_line_247,Manasa,Manasa,Manasa,600246
Shiggauv,Address_line247,Address_line_248,Shiggauv,Shiggauv,Shiggauv,600247
Barmer,Address_line248,Address_line_249,Barmer,Barmer,Barmer,600248
Pitlam,Address_line249,Address_line_250,Pitlam,Pitlam,Pitlam,600249
Balaghat,Address_line250,Address_line_251,Balaghat,Balaghat,Balaghat,600250
Udupi,Address_line251,Address_line_252,Udupi,Udupi,Udupi,600251
Dumal,Address_line252,Address_line_253,Dumal,Dumal,Dumal,600252
Kalyani,Address_line253,Address_line_254,Kalyani,Kalyani,Kalyani,600253
Ramanagara,Address_line254,Address_line_255,Ramanagara,Ramanagara,Ramanagara,600254
Sahiyapur,Address_line255,Address_line_256,Sahiyapur,Sahiyapur,Sahiyapur,600255
Narwana,Address_line256,Address_line_257,Narwana,Narwana,Narwana,600256
Ambala Cantt.,Address_line257,Address_line_258,Ambala Cantt.,Ambala Cantt.,Ambala Cantt.,600257
Pallahara,Address_line258,Address_line_259,Pallahara,Pallahara,Pallahara,600258
New Grain Market ,Address_line259,Address_line_260,New Grain Market ,New Grain Market ,New Grain Market ,600259
Bishnupur(Bankura),Address_line260,Address_line_261,Bishnupur(Bankura),Bishnupur(Bankura),Bishnupur(Bankura),600260
Barhaj,Address_line261,Address_line_262,Barhaj,Barhaj,Barhaj,600261
Bachranwa,Address_line262,Address_line_263,Bachranwa,Bachranwa,Bachranwa,600262
Bellary,Address_line263,Address_line_264,Bellary,Bellary,Bellary,600263
Sultanpurchilkana,Address_line264,Address_line_265,Sultanpurchilkana,Sultanpurchilkana,Sultanpurchilkana,600264
Katangi,Address_line265,Address_line_266,Katangi,Katangi,Katangi,600265
Kollegal,Address_line266,Address_line_267,Kollegal,Kollegal,Kollegal,600266
Jambusar,Address_line267,Address_line_268,Jambusar,Jambusar,Jambusar,600267
Tikabali,Address_line268,Address_line_269,Tikabali,Tikabali,Tikabali,600268
Barikpur,Address_line269,Address_line_270,Barikpur,Barikpur,Barikpur,600269
Gharghoda,Address_line270,Address_line_271,Gharghoda,Gharghoda,Gharghoda,600270
Hadgaon(Tamsa),Address_line271,Address_line_272,Hadgaon(Tamsa),Hadgaon(Tamsa),Hadgaon(Tamsa),600271
Khalilabad,Address_line272,Address_line_273,Khalilabad,Khalilabad,Khalilabad,600272
Narnaund,Address_line273,Address_line_274,Narnaund,Narnaund,Narnaund,600273
Pampady,Address_line274,Address_line_275,Pampady,Pampady,Pampady,600274
Ranaghat,Address_line275,Address_line_276,Ranaghat,Ranaghat,Ranaghat,600275
Modasa,Address_line276,Address_line_277,Modasa,Modasa,Modasa,600276
Bidar,Address_line277,Address_line_278,Bidar,Bidar,Bidar,600277
Iamailabad,Address_line278,Address_line_279,Iamailabad,Iamailabad,Iamailabad,600278
Attili,Address_line279,Address_line_280,Attili,Attili,Attili,600279
Barad,Address_line280,Address_line_281,Barad,Barad,Barad,600280
Bahraich,Address_line281,Address_line_282,Bahraich,Bahraich,Bahraich,600281
Pattambi,Address_line282,Address_line_283,Pattambi,Pattambi,Pattambi,600282
Mustafabad,Address_line283,Address_line_284,Mustafabad,Mustafabad,Mustafabad,600283
Sehjanwa,Address_line284,Address_line_285,Sehjanwa,Sehjanwa,Sehjanwa,600284
Bhadara,Address_line285,Address_line_286,Bhadara,Bhadara,Bhadara,600285
Meghraj,Address_line286,Address_line_287,Meghraj,Meghraj,Meghraj,600286
Achnera,Address_line287,Address_line_288,Achnera,Achnera,Achnera,600287
Makdi,Address_line288,Address_line_289,Makdi,Makdi,Makdi,600288
Auraiya,Address_line289,Address_line_290,Auraiya,Auraiya,Auraiya,600289
Paonta Sahib,Address_line290,Address_line_291,Paonta Sahib,Paonta Sahib,Paonta Sahib,600290
Karnailganj,Address_line291,Address_line_292,Karnailganj,Karnailganj,Karnailganj,600291
Morena,Address_line292,Address_line_293,Morena,Morena,Morena,600292
Shamli,Address_line293,Address_line_294,Shamli,Shamli,Shamli,600293
Vadgaonpeth,Address_line294,Address_line_295,Vadgaonpeth,Vadgaonpeth,Vadgaonpeth,600294
Sheopurkalan,Address_line295,Address_line_296,Sheopurkalan,Sheopurkalan,Sheopurkalan,600295
Perumbavoor,Address_line296,Address_line_297,Perumbavoor,Perumbavoor,Perumbavoor,600296
Bangarmau,Address_line297,Address_line_298,Bangarmau,Bangarmau,Bangarmau,600297
Mahua Mandabar(Mahua),Address_line298,Address_line_299,Mahua Mandabar(Mahua),Mahua Mandabar(Mahua),Mahua Mandabar(Mahua),600298
Moodigere,Address_line299,Address_line_300,Moodigere,Moodigere,Moodigere,600299
Kadhle,Address_line300,Address_line_301,Kadhle,Kadhle,Kadhle,600300
Lonar,Address_line301,Address_line_302,Lonar,Lonar,Lonar,600301
Koovapadi,Address_line302,Address_line_303,Koovapadi,Koovapadi,Koovapadi,600302
Kalamb,Address_line303,Address_line_304,Kalamb,Kalamb,Kalamb,600303
Toofanganj,Address_line304,Address_line_305,Toofanganj,Toofanganj,Toofanganj,600304
Ahmedabad(Chimanbhai Patal Market Vasana),Address_line305,Address_line_306,Ahmedabad(Chimanbhai Patal Market Vasana),Ahmedabad(Chimanbhai Patal Market Vasana),Ahmedabad(Chimanbhai Patal Market Vasana),600305
Koppa,Address_line306,Address_line_307,Koppa,Koppa,Koppa,600306
Puttur,Address_line307,Address_line_308,Puttur,Puttur,Puttur,600307
Tusura,Address_line308,Address_line_309,Tusura,Tusura,Tusura,600308
Partur,Address_line309,Address_line_310,Partur,Partur,Partur,600309
kalanwali,Address_line310,Address_line_311,kalanwali,kalanwali,kalanwali,600310
Gangoh,Address_line311,Address_line_312,Gangoh,Gangoh,Gangoh,600311
